threshold,fpr,fnr
0.99877059,0.00195632,0.97633136
0.99876380,0.00196596,0.97633136
0.99876273,0.00197560,0.97633136
0.99875963,0.00198524,0.97633136
0.99875468,0.00199487,0.97633136
0.99875236,0.00200451,0.97633136
0.99874818,0.00201415,0.97633136
0.99874675,0.00202378,0.97633136
0.99874341,0.00203342,0.97633136
0.99873298,0.00204306,0.97633136
0.99872875,0.00205270,0.97633136
0.99872565,0.00206233,0.97633136
0.99872559,0.00207197,0.97633136
0.99872160,0.00208161,0.97633136
0.99871778,0.00210088,0.97633136
0.99871182,0.00211052,0.97633136
0.99871045,0.00212015,0.97633136
0.99870783,0.00212979,0.97633136
0.99870765,0.00213943,0.97633136
0.99870396,0.00214907,0.97633136
0.99870276,0.00215870,0.97633136
0.99870253,0.00216834,0.97633136
0.99870235,0.00217798,0.97633136
0.99869931,0.00218761,0.97633136
0.99869895,0.00219725,0.97633136
0.99869680,0.00220689,0.97633136
0.99869239,0.00221653,0.97633136
0.99868631,0.00222616,0.97633136
0.99868584,0.00223580,0.97633136
0.99867630,0.00225507,0.97633136
0.99867535,0.00226471,0.97633136
0.99867427,0.00227435,0.97633136
0.99867278,0.00228399,0.97633136
0.99866557,0.00229362,0.97633136
0.99865890,0.00230326,0.97633136
0.99865675,0.00231290,0.97633136
0.99864966,0.00232253,0.97633136
0.99864537,0.00233217,0.97633136
0.99863118,0.00234181,0.97633136
0.99862897,0.00235144,0.97633136
0.99862742,0.00236108,0.97633136
0.99862552,0.00237072,0.97633136
0.99862540,0.00238036,0.97633136
0.99862397,0.00238999,0.97633136
0.99861169,0.00239963,0.97633136
0.99861127,0.00240927,0.97633136
0.99861050,0.00241890,0.97633136
0.99860471,0.00242854,0.97633136
0.99860418,0.00243818,0.97633136
0.99860227,0.00244782,0.97633136
0.99859995,0.00245745,0.97633136
0.99858892,0.00246709,0.97633136
0.99858516,0.00247673,0.97633136
0.99857867,0.00248636,0.97633136
0.99857831,0.00249600,0.97633136
0.99857807,0.00251527,0.97633136
0.99856418,0.00252491,0.97633136
0.99856406,0.00253455,0.97633136
0.99856007,0.00254419,0.97633136
0.99855947,0.00255382,0.97633136
0.99855900,0.00256346,0.97633136
0.99855006,0.00257310,0.97633136
0.99854636,0.00258273,0.97633136
0.99853802,0.00260201,0.97633136
0.99853790,0.00261165,0.97633136
0.99853289,0.00262128,0.97633136
0.99852753,0.00263092,0.97633136
0.99852729,0.00264056,0.97633136
0.99852580,0.00265019,0.97633136
0.99852180,0.00265983,0.97633136
0.99851906,0.00266947,0.97633136
0.99851692,0.00267910,0.97633136
0.99851501,0.00268874,0.97633136
0.99851358,0.00269838,0.97633136
0.99851334,0.00270802,0.97633136
0.99850976,0.00271765,0.97633136
0.99850553,0.00272729,0.97633136
0.99850470,0.00273693,0.97633136
0.99850333,0.00274656,0.97633136
0.99850130,0.00275620,0.97633136
0.99850011,0.00276584,0.97633136
0.99849921,0.00277548,0.97633136
0.99849689,0.00278511,0.97633136
0.99848813,0.00279475,0.97633136
0.99848032,0.00280439,0.97633136
0.99847996,0.00281402,0.97633136
0.99847651,0.00282366,0.97633136
0.99847525,0.00283330,0.97633136
0.99847329,0.00284294,0.97633136
0.99846941,0.00285257,0.97633136
0.99846810,0.00286221,0.97633136
0.99845839,0.00287185,0.97633136
0.99845165,0.00288148,0.97633136
0.99845022,0.00289112,0.97633136
0.99844980,0.00290076,0.97633136
0.99844772,0.00291039,0.97633136
0.99844307,0.00292003,0.97633136
0.99843544,0.00292967,0.97633136
0.99843478,0.00293931,0.97633136
0.99843234,0.00294894,0.97633136
0.99842888,0.00295858,0.97633136
0.99841642,0.00296822,0.97633136
0.99841392,0.00297785,0.97633136
0.99840975,0.00298749,0.97633136
0.99840438,0.00299713,0.97633136
0.99840176,0.00300677,0.97633136
0.99840105,0.00301640,0.97633136
0.99839938,0.00302604,0.97633136
0.99839044,0.00303568,0.97633136
0.99838829,0.00304531,0.97633136
0.99838239,0.00305495,0.97633136
0.99837953,0.00306459,0.97633136
0.99837929,0.00307422,0.97633136
0.99837458,0.00308386,0.97633136
0.99836111,0.00309350,0.97633136
0.99835503,0.00310314,0.97633136
0.99834859,0.00311277,0.97337278
0.99834704,0.00312241,0.97337278
0.99834669,0.00313205,0.97337278
0.99833727,0.00314168,0.97337278
0.99833369,0.00315132,0.97337278
0.99832767,0.00316096,0.97337278
0.99832582,0.00317060,0.97337278
0.99832523,0.00318023,0.97337278
0.99831641,0.00318987,0.97337278
0.99830854,0.00319951,0.97337278
0.99830794,0.00320914,0.97337278
0.99830353,0.00321878,0.97337278
0.99830079,0.00322842,0.97337278
0.99829865,0.00323805,0.97337278
0.99829733,0.00324769,0.97337278
0.99829721,0.00325733,0.97337278
0.99829710,0.00326697,0.97337278
0.99829626,0.00328624,0.97337278
0.99829376,0.00329588,0.97337278
0.99829268,0.00330551,0.97337278
0.99829185,0.00331515,0.97337278
0.99828589,0.00332479,0.97337278
0.99828362,0.00333443,0.97337278
0.99828231,0.00334406,0.97337278
0.99828219,0.00335370,0.97337278
0.99827933,0.00336334,0.97337278
0.99827754,0.00337297,0.97337278
0.99827474,0.00338261,0.97337278
0.99827075,0.00339225,0.97337278
0.99826646,0.00340189,0.97337278
0.99826527,0.00341152,0.97337278
0.99826467,0.00342116,0.97337278
0.99826002,0.00343080,0.97337278
0.99825615,0.00344043,0.97337278
0.99825454,0.00345007,0.97337278
0.99825120,0.00345971,0.97337278
0.99824667,0.00346934,0.97337278
0.99824560,0.00347898,0.97337278
0.99823838,0.00348862,0.97337278
0.99823213,0.00349826,0.97337278
0.99822843,0.00350789,0.97337278
0.99822700,0.00351753,0.97337278
0.99822617,0.00352717,0.97337278
0.99822044,0.00353680,0.97337278
0.99821842,0.00354644,0.97337278
0.99821472,0.00355608,0.97337278
0.99819696,0.00356572,0.97337278
0.99819648,0.00357535,0.97337278
0.99819231,0.00358499,0.97337278
0.99819076,0.00359463,0.97337278
0.99818766,0.00360426,0.97337278
0.99818730,0.00361390,0.97337278
0.99818438,0.00362354,0.97337278
0.99817896,0.00363317,0.97337278
0.99817759,0.00364281,0.97337278
0.99817705,0.00365245,0.97337278
0.99817681,0.00366209,0.97337278
0.99817455,0.00367172,0.97337278
0.99817348,0.00368136,0.97337278
0.99817061,0.00369100,0.97337278
0.99816740,0.00371027,0.97337278
0.99816638,0.00371991,0.97337278
0.99816519,0.00372955,0.97337278
0.99815851,0.00373918,0.97337278
0.99815696,0.00374882,0.97337278
0.99815094,0.00375846,0.97337278
0.99814558,0.00376809,0.97337278
0.99814057,0.00377773,0.97337278
0.99813861,0.00378737,0.97337278
0.99813294,0.00379700,0.97337278
0.99813139,0.00380664,0.97337278
0.99813086,0.00381628,0.97337278
0.99812055,0.00382592,0.97337278
0.99811268,0.00383555,0.97337278
0.99811172,0.00384519,0.97337278
0.99811161,0.00384519,0.97041420
0.99811077,0.00385483,0.97041420
0.99811065,0.00386446,0.97041420
0.99810767,0.00387410,0.97041420
0.99810660,0.00388374,0.97041420
0.99810559,0.00389338,0.97041420
0.99810374,0.00390301,0.97041420
0.99809742,0.00391265,0.97041420
0.99809682,0.00392229,0.97041420
0.99808800,0.00393192,0.97041420
0.99808669,0.00394156,0.97041420
0.99808306,0.00395120,0.97041420
0.99808270,0.00396083,0.97041420
0.99808192,0.00397047,0.97041420
0.99808121,0.00398011,0.97041420
0.99807322,0.00398975,0.97041420
0.99806637,0.00399938,0.97041420
0.99805892,0.00400902,0.97041420
0.99805796,0.00401866,0.97041420
0.99805498,0.00402829,0.97041420
0.99805492,0.00403793,0.97041420
0.99805146,0.00404757,0.97041420
0.99805105,0.00405721,0.97041420
0.99804705,0.00406684,0.97041420
0.99804676,0.00407648,0.97041420
0.99804646,0.00408612,0.97041420
0.99804616,0.00409575,0.97041420
0.99804211,0.00410539,0.97041420
0.99803823,0.00411503,0.97041420
0.99803388,0.00412467,0.97041420
0.99803269,0.00413430,0.97041420
0.99802643,0.00414394,0.97041420
0.99802518,0.00415358,0.97041420
0.99802440,0.00416321,0.97041420
0.99802142,0.00417285,0.97041420
0.99801779,0.00418249,0.97041420
0.99801373,0.00419212,0.97041420
0.99801230,0.00420176,0.97041420
0.99801052,0.00421140,0.97041420
0.99800599,0.00422104,0.97041420
0.99800384,0.00423067,0.97041420
0.99800313,0.00424031,0.97041420
0.99799871,0.00424995,0.97041420
0.99799860,0.00425958,0.97041420
0.99799562,0.00426922,0.97041420
0.99799407,0.00427886,0.97041420
0.99799013,0.00427886,0.96745562
0.99798965,0.00428850,0.96745562
0.99798572,0.00429813,0.96745562
0.99798340,0.00430777,0.96745562
0.99797952,0.00431741,0.96745562
0.99797469,0.00432704,0.96745562
0.99796665,0.00433668,0.96745562
0.99796385,0.00434632,0.96745562
0.99796194,0.00435595,0.96745562
0.99795973,0.00436559,0.96745562
0.99795550,0.00437523,0.96745562
0.99795127,0.00438487,0.96745562
0.99794918,0.00439450,0.96745562
0.99794519,0.00440414,0.96745562
0.99794489,0.00441378,0.96745562
0.99794376,0.00442341,0.96745562
0.99794340,0.00443305,0.96745562
0.99794269,0.00444269,0.96745562
0.99794239,0.00445233,0.96745562
0.99794161,0.00446196,0.96745562
0.99793959,0.00447160,0.96745562
0.99793857,0.00448124,0.96745562
0.99793851,0.00449087,0.96745562
0.99793375,0.00450051,0.96745562
0.99793160,0.00451015,0.96745562
0.99793094,0.00451978,0.96745562
0.99793041,0.00452942,0.96745562
0.99792314,0.00453906,0.96745562
0.99792254,0.00454870,0.96745562
0.99791944,0.00455833,0.96745562
0.99791878,0.00456797,0.96745562
0.99791694,0.00458724,0.96745562
0.99790853,0.00459688,0.96745562
0.99789882,0.00460652,0.96745562
0.99789608,0.00461616,0.96745562
0.99789089,0.00462579,0.96745562
0.99789011,0.00463543,0.96745562
0.99788940,0.00464507,0.96745562
0.99788225,0.00465470,0.96745562
0.99788141,0.00466434,0.96745562
0.99788034,0.00467398,0.96745562
0.99787647,0.00468362,0.96745562
0.99787623,0.00469325,0.96745562
0.99787396,0.00470289,0.96745562
0.99787176,0.00471253,0.96745562
0.99786836,0.00472216,0.96745562
